"difference_type","id","scene","flash_decision","pro_decision","pro_valid_output","pro_raw_output","pro_finish_reason","pro_completion_tokens","pro_reasoning_tokens","prompt","response"
"pro_invalid","2355","casual_chat","A",,"False","","length","2048","2047","有，夜市那种","但是感觉跟我的童年就没什么关系了，还有大学门口是不是卖得要贵一些的啊。在厦门看到了有店面的鸡蛋饼，一个加蛋加肠的买8块他都能卖得出来？！小学门口都才两三块！"
"flash_R_pro_A","2420","casual_chat","R","A","True","A","stop","308","306","刚好立不案","那这个是老骗子啊，刚好卡着这个线，现在是多少可以立案啊，2000？"
"pro_invalid","2422","casual_chat","A",,"False","","length","2048","2048","江西","江西嘛？我在那边那么久都没见过啊，这是卡视野大师啊哈哈哈哈哈，他这个虽说是骗子，但确实是拼本身吃饭www。"
"flash_A_pro_R","2455","question_answer","A","R","True","R","stop","245","243","什么时候复习啊","蚂蚁篇有多少看完的啊举个手，如果没看完的同学就晚安吧，为了你们的观看体验。明天要出差的所以今天也不会播开久，主要刚好差了一天二月才够，明天飞机不是很晚，8点回来直播是完全有可能的，所以打算明天回来吃个饭，八点开播唱唱歌，毕竟好久没有直播了。话说你们都收心了嘛，多的都开学开工半个月了吧"
"flash_R_pro_A","2481","casual_chat","R","A","True","A","stop","488","486","有没有炸串的味道","没有！我超喜欢点蜡烛！喜欢把家里点的香香的！这个是皮革与烟草，切嗣福尔摩斯的感觉，就是之前说的老登的味道。有御姐味道，这个雪松玫瑰，玫瑰和红茶的味道就是御姐的味道，我其实没有很喜欢玫瑰味道，因为我觉得玫瑰味道都有点妖艳儿的感觉。有一个我觉得男酮可能会喜欢，就是白袜子少年身上的肥皂味。上不了链接哦，没有链接可以上哦。上次马老师来的时候给点的就是这个，就是是黑色的，有一种魔女的感觉，咖啡奶酪味。还有火锅味我不知道这种味道我不太知道什么样的人群可能会需要。"
"pro_invalid","2519","casual_chat","A",,"False","","length","2048","2048","看人的，不一定有用的","单单坚持两年感觉没有问题，但是就怕没用的啊。我就螨虫过敏感觉还好，不是食物过敏，有食物过敏据说会导致死亡的啊，我这种还好，但就会导致嗓子充血，录歌和配音"
"flash_A_pro_R","2549","casual_chat","A","R","True","R","stop","1398","1396","她在准备","她以前也是这样经常迟到的嘛？难道只有我迟到还要报备的嘛？"
"flash_A_pro_R","2612","casual_chat","A","R","True","R","stop","607","605","就有一点点","只有一点点啊，那就好。又吐了口痰，有一口痰它在嗓子和鼻子之间反复横跳，上不去下不来好烦。"
"flash_R_pro_A","2616","casual_chat","R","A","True","A","stop","428","426","刚才有点anon的感觉","这样哑哑的，再夹的就像anon酱嘛？（やった！soyo桑love！）其实我模仿的最多的是奶奶的，乐奈的おばあちゃんの~"
"flash_R_pro_A","2656","casual_chat","R","A","True","A","stop","1863","1861","但会被吊销，降级","还会降级的嘛？a照能开飞机嘛（然后说着说着变成b罩了）对不起我今天真的是脑子不清楚啊。你们说比a再高的是不是x，z这种啊，以前那些动画第二部不都是什么七龙珠x，z什么的嘛。那比a再上的是不是就是xz啊，再网上是不是就是可以开ufo了！开诺亚方舟！开休伯利安！"
"flash_A_pro_R","2746","casual_chat","A","R","True","R","stop","625","623","可以试试打动作游戏","但是打游戏太久的话，我的眼神会变得越来越痴呆的！你们可以试一试让家里人拍下你正常的样子，真的会显得很呆滞！我现在电脑手机玩得少了，眼神会真的变精神很多！还有电脑和手机看久了会头前伸！真的会影响下巴，会双下巴的！所以还是要多出去走一走呀！有没有马甲线.exe或者腹肌.exe这种文件的话我可以来一个！其他的话我需要展示我肚子的时候太少了。"
